id,age,gender,email,business_nature,company,position,payment_method,name,targets
27,43,Male,yahoo.com.hk,Construction, SUN MING SCAFFOLDING LIMITED,竹棚工,B,charlie__verble,34129.46;33933.71
28,48,Male,qq.com,Professional Services / Consultation, Tang's Decoration Manufactory Ltd.,經理,,Clarence___KOERPER,39530.1
29,27,Female,gmail.com,Food Services, The First Floor by Lifestyle Federation,Cook,,elizabeth_zmolek,24113.62;23947.50
30,25,Male,gmail.com,Beauty / Fitness, via il colpo   , customer service assistant  ,,richard_thomaston,16160.15;16268.94;16203.85;16655.04
31,26,Male,yahoo.com.hk,Food Services, 大家樂,分店副經理,A,Andrew__mugg,25926.49;25593.68;25796.20;25524.00;25627.02
32,22,,yahoo.com.hk,IT, 家家換領中心@朗天科技,cs,,Bertha_griebel,13343.65;13464.18;13437.99;13474.08;13357.44
33,34,Male,123.com,Retail / Wholesale, 康誠藥房 ,售貨員,B,Daniel__muhn,34909.38;34946.85;34532.30;35247.68
34,46,Male,126.com,Professional Services / Consultation, 泉昌有限公司,印刷,A,Ernest___KERNE,17181.40;16975.60
35,28,Female,hotmail.com,Food Services, 渝味曉宇重慶老火鍋,接待員,A,sarah_helfritz,19502.07;19312.95
36,35,Male,yahoo.com.hk,Other, 英國保誠,OFFICER ,A,Will__koerper,18580.68
37,33,Male,126.com,Communications, 萬訊通有限公司,技術員,A,Jesse_MUGG,13324.43;13467.86;13303.58;13480.91
38,35,Male,gmail.com,Other, 順豐電機工程,電工,A,oscar___serapion,36733.31;37590.30;37307.69;38179.01
39,31,Male,hotmail.com,Construction, 香港寶嘉建築有限公司,Survery,,Lewis__dittbrenner,34045.24;34651.60;33991.66;34374.14;34114.58
40,50,Male,126.com,Decoration / Design,:地盤,製修二判,,Peter__BOHMKER,51548.11;51913.16;50457.14;51321.31
41,35,Male,yahoo.com.hk,Other,.,Volleyball coach,C,Fred_pezley,17386.57;17283.78;17350.28;17391.95
42,45,Male,yahoo.com,Retail / Wholesale,.a)broadway photo supply ltd. b) wellcome superstore,storekeeper,A,Benjamin__melgarejo,24194.74
43,31,Male,yahoo.com.hk,Shipping / Trading,"""K"" LINE LOGISTICS (HK) LTD.",文員,A,Frederick__DEWULF,17444.57;17455.28
44,52,Male,yahoo.com.hk,Engineering,（1）大昌工程部  （2）Ocs 海外新聞有限公司,（1）司機（2）司機,A,Willie_koerper,32440.57;32300.40
45,19,Female,gmail.com,Food Services,（沒有）,侍應,B,Annie_melgarejo,14537.09;14815.12;14827.47;14504.09
46,57,Male,gmail.com,Hotel / Tourism,1.退休公務員2.第一太平載唯斯,客戶服務,A,alfred__kerns,40513.68
47,52,Female,gamil.com,Other,1)名門餅店 2)糖川茶餐廳,1)店務員 2)兼職侍應,C,Clara__KADNER,27795.76;28003.21;26974.71
48,41,Male,gmail.com,Retail / Wholesale,101 studio limited,Sales,A,sam___ibarra,21047.20;21216.04;20973.06;21178.18
49,25,Male,gmail.com,Real Estate,163 Company Ltd,Clerk/Administrative Assistant,C,Roy__keros,21165.49;21024.42
50,25,Male,gmail.com,Retail / Wholesale,188 TELECOM LTD,SALES,A,Herbert_MELGAREJO,25574.54;26209.36
51,47,Male,gmail.com,Food Services,1957&CO,assistant costing Manager,A,robert___kimminau,27652.87;27163.63;27178.56
52,29,Male,gmail.com,Decoration / Design,1cm design,平面設計,B,jacob_autobee,24945.49;25236.41;25531.78;24822.02
53,32,Male,gmail.com,Communications,1O1O CSL Telecoommunications,"Assistant Manager, Corporate Market",A,Tom_ibarra,37052.76;37730.57;37672.30;37737.49;37465.22
54,24,Female,gmail.com,Other,2 plus,sales,C,ella__ledoux,17522.85;17563.44;17562.44;17472.94;17496.82
55,28,Female,yahoo.com.hk,Education,2016workshop,鋼琴導師,B,Florence___zmolek,23121.51;23022.70
56,24,Male,gmail.com,Retail / Wholesale,21世紀衛浴鎖類有限公司,Sales,C,Elmer___ibarra,15759.37;15821.29
57,23,Female,gmail.com,Decoration / Design,3drums,Designer,C,Cora__kerne,14768.57;14803.76;14790.84;14885.01
58,26,Male,gmail.com,Decoration / Design,3hk,Designer ,A,Carl_burmeister,25010.06;24979.48;25167.32;25219.95;25485.94
59,49,Male,gmail.com,Manufacturing,3i corporation ltd,driver,,lee__muhl,25670.84;25463.61;25179.01;25484.28
60,26,Male,gmail.con,Transportation,3pl service Ltd,送貨員,A,George___kovalik,21176.14;21435.21;21267.14
61,26,Male,yahoo.com.hk,Retail / Wholesale,4B CLUB,銷售經理,B,Howard_huesman,27068.31;26470.72;26604.67;26924.48;26508.46
62,23,Female,gmail.com,Retail / Wholesale,6IXTY 8IGHT,sales,,martha_kuroda,14900.25;15197.34
63,31,Female,yahoo.com.hk,Retail / Wholesale,6ixty8ight,manager,,laura___lothrop,31309.00;31337.74;31294.52
64,24,Female,gmail.com,Retail / Wholesale,7 for all mankind,SALES,A,nellie___kadner,20907.63;20867.36
65,25,Male,hotmail.com,Retail / Wholesale,7-11便利店,店員,,Martin_kadner,11178.89
66,41,Female,gmail.com,Retail / Wholesale,7-ELEVEN,AREA MANAGER,A,Grace_kerne,34407.14;33883.15;33756.95;34326.87
67,54,,111.com,Retail / Wholesale,7-Eleven,,B,Michael___verble,10425.91;10447.63
68,24,Female,hotmail.com,Food Services,7080BBQ,WAITESS,,carrie___burmeister,19693.57;19689.41;19788.04;19437.47
69,24,Male,gmail.com,Retail / Wholesale,759 shop,SALES,A,bert_schrantz,15923.35
70,22,Male,yahoo.com.hk,Retail / Wholesale,759 阿信屋,跟車,A,herman_ibarra,23630.81;23649.07
71,39,Male,sina.com,Other,759 阿信屋,店長,,Jim__marohnic,29296.80;29522.40
72,45,Male,yahoo.com.hk,Retail / Wholesale,759 阿信屋,Shop Manager,A,Francis_melgarejo,55134.79
73,35,Female,yahoo.com.hk,Retail / Wholesale,759阿信屋,售貨員,A,maude_wilging,16894.76
74,29,Male,gmail.com,Retail / Wholesale,759阿信屋,零售,,Harvey_MUHL,20845.17;20652.14;20573.43;20911.08;21259.70
75,32,Male,gmail.com,Transportation,759阿信屋,跟車,B,earl_kerne,25564.80;25569.27;25959.06;25526.25
76,38,Male,yahoo.com.hk,Food Services,8 1/2 Otto e Mezzo Bombana ,餐廳經理,,Eugene__schrantz,59769.46;58693.35;59518.60;59545.58;58524.89
77,24,Male,yahoo.com.hk,Food Services,8 degree hotel,Waiter,A,Ralph_kantis,18972.52;18781.39;18843.74;19061.98
78,22,Male,yahoo.com.hk,Bank / Finance,8 Securities Limited,Client Relationship Manager,A,Ed__autobee,18444.95;18422.45
79,34,Male,8five2.com,Retail / Wholesale,8five2 distribution co ltd,warehouse manager,,claude_schrantz,21670.48;21465.06;21582.92;21428.98;21751.33
80,22,Male,gmail.com,Food Services,8度海逸酒店,西厨,A,Edwin___araque,15415.86;15208.95;15442.37
81,37,Male,gmail.com,Decoration / Design,9394機械工程工司,電器技工,B,Ben___thomaston,30046.40;30502.52
82,34,Male,gmail.com,IT,A & A Creation Co.,Software Engineer,B,charley_kantis,18825.52;18860.57;18957.90;18709.63;19080.88
83,35,Female,123.com,IT,A & S (HK) LOGISTICS LTD,文員,,Mabel__autobee,23540.59
84,20,Male,hotmail.com,Other,A BETTER WAY (HK) LIMITED,sales,C,Paul__helie,9507.48;9453.63;9472.86;9466.11;9375.78
85,28,Female,gmail.com,Social Services,A Drop Of Life,PR Officer,A,Bessie___kerne,27753.11
86,26,Female,gmail.com,Retail / Wholesale,A golden Champion CPA Ltd,Junior audit,A,Jennie___mugg,16256.99;16219.39;15989.10
87,20,Female,gmail.com,Retail / Wholesale,A grade,Sales,A,Gertrude_helie,20370.84;20236.82;20337.50;20110.95
88,31,Male,gmail.com,Retail / Wholesale,A Grade Technology Ltd.,Manager,A,Edgar__derington,22138.38;22592.76
89,57,Male,shoemakers.cn,Manufacturing,A SHOE COMPANY LIMITED,TRADING,,Isaac__helie,20330.48
90,36,Male,gmail.com,Retail / Wholesale,A-1 bakery Group,District supervisor,A,Otto_jalomo,31254.78
91,33,Male,gmail.com,Retail / Wholesale,A-1 JEWELRY MANUFACTORY LTD,SENIOR SALES EXECUTIVE,,Louis___AUTOBEE,25680.37;25174.58;25961.78;25746.52
92,30,Female,yahoo.com,Other,A-1麵包店,服務業,,Julia_eppes,5521.86;5524.62;5549.16;5644.55
93,23,Female,gmail.com,Engineering,A-SPECIAL MOTOR STUDIO,秘書,B,Hattie_kerne,22754.64
94,41,Male,gmail.com,Insurance,A.I.A international limitrd,angent,A,Luther___HADDEN,91023.22;90466.86;90399.34
95,41,Male,asw.com.hk,Transportation,A.S. Watson Group,倉務員,A,Lawrence_kerne,32533.85;32118.05;31391.37
96,28,Female,gmail.com,Retail / Wholesale,A.S. Watson Retail (HK) Limited,Administrative Officer,A,Edith_thierauf,21505.43;21981.69;21614.36;21633.61;21771.41
97,55,,gmail.com,Retail / Wholesale,A.S.Watson,Sales,,Mattie_czerniak,18943.49;18871.64;18866.14
98,20,,yahoo.com.hk,,A&F,Sales (part time) ,,Rose___muhr,21343.76;20790.22
99,34,Male,yahoo.com.hk,Advertising / Marketing,A&P Design & Production (HK) Co. Ltd. ,設計 及 製作,B,Ira_muhr,27992.80;28089.07
100,32,Female,gmail.com,Food Services,A2 Pub,waitress,B,Catherine__DEWULF,11076.41
101,38,Male,gmail.com,IT,Aastocks,IT officer,A,Patrick__stoutamire,23776.88;23569.03;23548.21;23758.59;23929.40
102,34,Male,yahoo.com.hk,IT,AAStocks.com Ltd,Project Manager,A,Guy___thomaston,44165.24;44371.13;44880.12;45508.03;44632.68
103,24,Male,gmail.com,Other,ABA Hi-Tech,清潔部主任,B,oliver_muhl,23066.51
104,33,Male,gmail.com,Food Services,abc kitchen,chef,B,theodore_pezley,13132.04;12967.20;13033.26;13003.27;13269.41
105,41,Male,msn.com,Retail / Wholesale,Abebi Ltd,Warehouse,C,Hugh_ibarra,18885.44;18973.66;18847.37;18880.80;19087.63
106,48,,gmail.com,Food Services,Aberdeen Boat Club,,,Clyde__melgarejo,30946.67;30430.65;30614.66
107,34,Male,yahoo.com.hk,Decoration / Design,aberdeen boat club,技術員,A,alexander_kuroda,27463.75;27046.69;27085.48;27010.77
108,27,Male,hotmail.com,Food Services,aberdeen boat club and 埃索油站,PASTRY CHEF,A,august__koerper,33852.39;34187.17;35024.68;34214.86;33904.13
109,40,Female,gmail.com,Construction,Ability Enterprise Co,clerk,,Lillian_thomaston,38782.91;38474.30;38711.13;38742.30
110,23,Male,gmail.com,Entertainment / Media,ABSTAR COMPANY LIMITED,MANAGER,A,FLOYD_BOKLUND,33175.64;33321.26;33108.70
111,36,Female,yahoo.com.hk,Social Services,ABWE,Social worker,,Ada__thomaston,32517.75;32095.01;32594.04
112,26,Female,msn.com,Other,AC promotion ltd,Sales,C,Lillie_holstad,15906.98
113,21,Male,gmail.com,Food Services,acasemics,cook,A,homer_ibarra,19478.35;19399.74;19060.67;19277.51
114,30,Male,gmail.com,Transportation,Acc 運輸有限公司,司機,,Jack_serapion,16480.43;16362.48
115,40,Male,yahoo.com,Education,Accent Holdings Limited,Sales Director,B,Leonard_jalomo,87246.50;89207.39;88033.46
116,25,Male,gmail.com,Professional Services / Consultation,Accenture Company Limited,Management Consulting,,Horace_ibarra,26947.61;26767.70;26379.87
117,36,Male,gmail.com,IT,ACCENTURE TECHNOLOGY SOLUTIONS (H.K.) LTD,ASSOCIATE MANAGER,A,Marion_THOMASTON,66995.54;66983.62
118,26,Male,gmail.com,Advertising / Marketing,Accutone Technologies Limited,Marketing Executive,A,Philip_brittin,15497.29;15659.75
119,32,Male,yahoo.com.hk,Decoration / Design,ace engineering company,電力技工,,allen___muhr,36590.54;36498.67;36487.13
120,23,Male,gmail.com,Retail / Wholesale,ace optical ltd,零售員,B,archie___helie,14738.74
121,35,Male,hotmail.com,IT,Achiever Technology Limited,Solution Manager,A,Stephen_muhl,47730.48;48660.40;48524.88
122,29,Male,gmail.com,Construction,ACME Metal int Ltd,Project Coodinator,A,Chester__helie,21308.39;21137.77
123,51,Male,hotmail.com,Other,ACME sanitary ware co. ltd,SALES MANEGER,A,Willis_kantis,40794.18;40812.19;40491.86;40300.36;41355.95
124,31,Female,yahoo.com,Retail / Wholesale,Acne Studios,other,,Helen___ARAQUE,51389.31;51673.63;52530.37;52615.20;51706.70
125,25,Female,gmail.com,Medical Services,Acorn Veterinary Hospital,Veterinary Assistant,C,Jessie_kerne,32388.12;32167.41;31462.82;32097.02;32363.77
126,42,Male,gmail.com,Professional Services / Consultation,Acrux Training Consultancy Ltd.,Training Consultant,C,Raymond_thomaston,45597.89;44542.51;45408.97;46006.71;44947.84
127,34,Male,yahoo.com.hk,IT,ACS BUSINESS PROCESS SOLUTIONS LTD,IT PROFESSIONAL,,Rufus___BURMEISTER,46811.57
128,25,Female,yahoo.com.hk,Other,Actex Finance Ltd,Clerk,,Louise_muhl,13433.17;13352.19;13485.02;13356.17
129,34,Male,fierydragonlion.com,Entertainment / Media,Active Production,Agent,B,warren_hadder,35057.61
130,25,,gmail.com,Medical Services,ActiveCare Pharmacy Limited,Dispensing Assistant,,Jessie__semmler,20463.45;20099.87;20559.85;20377.86
131,32,Female,yahoo.com.hk,Retail / Wholesale,Acton Intl. Corp. Ltd.,Marketing,,Ethel__koerper,21334.35;21279.41;21607.13;21179.52
132,35,Female,hotmail.com,Construction,AD+RG,Secretary,,Lula_furness,19601.07;20171.58
133,35,Female,yahoo.com.hk,Retail / Wholesale,ADA (HK) LTD,Office Manager,,Myrtle__muhl,21753.04;22069.98;21731.29;21810.51
134,32,Female,yahoo.com.hk,Retail / Wholesale,ADA (HK) LTD,SALES,,Eva___MUHL,21104.29
135,24,Female,gmail.com,Retail / Wholesale,adecco,part time sales,A,Frances_muhl,9475.32;9484.15
136,36,Female,yahoo.com.hk,Bank / Finance,adecco personnel limited ( HSBC),officer,A,sarah_hadden,26412.27
137,34,Male,yahoo.com.hk,Construction,Adequate Project Management & Consultancy Co Ltd.,文員,C,Milton___JALOMO,19979.93;19999.53;20319.12;20196.69
138,27,Male,yahoo.com.hk,Retail / Wholesale,adidas,售貨員,A,Roy___hadder,31046.41;31017.51;30935.52;31855.58;31030.76
139,22,Male,hotmail.com,Retail / Wholesale,Adidas,sales,A,Harvey___kerne,17561.73
140,35,Male,yahoo.com.hk,Retail / Wholesale,adidas,sales,,alex___lastrapes,27269.36;27087.93
141,30,Male,yahoo.com.hk,Other,adidas group,store manager,A,Leo__teaford,50278.87;50988.31;50817.14;50826.61;50826.90
142,24,Male,gmail.com,Retail / Wholesale,Adidas groups,Sales,A,Julius__schrantz,19559.93;19831.15;19492.95;19569.97;19342.00
143,39,Male,yahoo.com.hk,Retail / Wholesale,Adidas hk ltd,Warehouse operator,A,Ray__melgarejo,23793.04
144,37,Male,ymail.com,Retail / Wholesale,Adidas HK Ltd,Team Leader,,Sidney_muhr,23856.68;23860.43;23783.62;23629.67;23953.23
145,23,Male,gmail.com,Retail / Wholesale,ADIDAS HONG KONG,TEAM ASSOCIATE,A,Bernard___KOERPER,22007.20;22413.04
146,23,Male,yahoo.com.hk,Retail / Wholesale,Adidas Hong Kong Limited,Sales,A,Dan_melgarejo,20940.47;20920.42;20888.21
147,33,Male,gmail.com,Retail / Wholesale,adidas hong kong LTd,Store manager,A,Jerry_thomaston,35224.68;35534.81;35573.33;36129.18;35874.45
148,36,Male,yahoo.com.hk,Professional Services / Consultation,ADT (HK) Ltd,Customer monitoring specialist ,,Calvin_thomaston,24826.61;24333.85;24754.90;24926.42;24356.97
149,46,Male,gmail.com,Engineering,ADT Hong Kong Limited,Engineer,A,Perry___muhl,31766.42;32602.04;32142.27;31957.98;31954.53
150,37,Male,gmail.com,Other,ADT Hong Kong Ltd,Monitoring Center Associate,,Dave_times,23881.53;24386.68;24948.46;24040.38;24393.88
151,25,Male,gmail.com,Social Services,advance top limited -Shugetsu,chef ,A,Anthony__swords,23766.84;23373.51;23512.43;23797.39
152,34,Male,gmail.com,Food Services,Advance Top Ltd. (Shugetsu 麵鮮醬油房周月)    ,Shop Manager,,Eddie__mugg,36512.63;37190.77
153,34,Male,yahoo.com,Bank / Finance,Advanced Express Capital (HK) Limited,Finance,,Amos___muhn,53184.50;53702.68;55143.80
154,34,Female,gmail.com,Investment / Fund Management,Advancing (Asia) Management Ltd,Project Assistant,,Lena___thomaston,23989.35;24044.12;23959.17
155,28,Female,hotmail.com,Accounting,Advent Advisory (HK) Ltd,Assistant accountant,A,Lucy_araque,22901.73;22519.23;22180.59;21997.17
156,29,Female,hotmail.com,Other,AECOM,Quantity Survoyer,,Edna___kerne,29834.73;29842.66;29974.48;29845.68;29939.68
157,35,Female,yahoo.com.hk,Other,AECOM,見習工程師,,Maggie___muhr,27747.71;28107.26
158,28,Male,yahoo.com.hk,Construction,AECOM,Engineer,,Dennis__kadner,42981.15;42433.08;43059.29;41513.14
159,27,Male,gmail.com,Construction,AECOM Asia Co. Ltd.,Senior Survey Officer (Engineering),A,Clifford_muhl,63870.21
160,28,Male,gmail.com,Construction,AECOM Asia co.ltd,Work Supervisor ,A,Leroy__muhr,39081.51;39410.48;39226.60;39276.64
161,22,Female,gmail.com,Construction,AECOM Asia Company Ltd.,Works supervisor II,A,Pearl_ibarra,32009.81
162,39,Male,yahoo.com.hk,Construction,AECOM Asia Group Holdings Limited,quantity survey officer,,harvey_verbit,66179.13;66583.63;66581.28;65843.75
163,28,Male,msn.com,Construction,AECOM Asia ltd,Technical officer,,Philip__couvillion,30263.76;29579.29;29914.57;29729.60
164,38,Female,gmail.com,Construction,Aecom Consulting Services Limited,draftsperson,,Daisy___KOERPER,35229.53
165,36,Male,gmail.com,Other,Aecon Consulting Service Ltd,建築顧問,,Wesley___kerns,46802.3
166,38,Male,gmail.com,Decoration / Design,Aedas interiors limited,Senior Cad draughtsman,,Alonzo_MUHR,37881.90;37358.69;38292.77
167,32,Female,gmail.com,Decoration / Design,Aedas Ltd,Business Executive,,Fannie___hadden,33554.73
168,51,Female,126.com,Professional Services / Consultation,AEGON ASIA B.V,文員,,Josephine__SCHRANTZ,21898.93;21998.54;21765.31
169,20,Female,yahoo.com.hk,Retail / Wholesale,AEON (永旺百貨有限公司),Shop Assistant,B,Dora__lashbrook,9054.58;9042.13;8951.09;8890.43;8931.80
170,33,Female,gmail.com,Bank / Finance,"Aeon Credit Service(Asia) Co.,Ltd",Senior Clerk,,Rosa_KURODA,14833.55;14890.85;14865.80;14848.87
171,34,Male,gmail.com,Retail / Wholesale,aeon hk,manager,,garfield_cipolone,26345.96;26485.22;26422.29;26540.20
172,46,Male,gmail.com,Insurance,Aeon Insurance broker (hk) limited,Unit manager,,Franklin___araque,117976.62;118553.92
173,40,Female,yahoo.com.hk,Retail / Wholesale,"AEON STORE (HK) CO.,LTD",CLERK,,Katherine___HADDER,17386.91;16943.12;16925.52
174,33,Male,gmail.com,Retail / Wholesale,aeon stores,senior baker,A,Emil___CERINO,18749.45;18782.98
175,39,Female,gmail.com,Retail / Wholesale,AEON百貨,sales,A,Agnes__SCHRANTZ,14273.45
176,32,Male,yahoo.com,Other,Aer-Block Building Material Co. LTD,Senior Clerk,B,leon__kerne,22000.69;21667.40;21822.32;21458.81
177,27,Male,gmail.com,IT,Aerate Limited,Web Developer,C,Nathan___helfritz,13983.23;14091.48;14009.23
178,20,Male,gmail.com,Transportation,Aerial Enterprises (HK) Ltd,地勤,,Harold_autobee,18852.09;19169.41;19172.52;19216.16;19087.92
179,30,Male,gmail.com,Retail / Wholesale,Aesop Hong Kong Limited,Beauty Sales Advisor,A,Matthew___beaton,26411.91;26766.24;26361.41;26530.21;26592.38
180,28,Male,gmail.com,Medical Services,Aesthetic Dental Implant Center,牙齒技術人員,,levi__helin,17335.40;17112.23;16973.55;17331.55;16961.52
181,56,Male,yahoo.com.hk,Other,Afair International Limited,DRIVER,,moses__saager,29852.59;29696.76;29168.07
182,33,Female,hotmail.com,Shipping / Trading,Affinitas Limited,Personal Assistant,C,Marie___verble,28003.53;27916.35;27402.71;27661.43;27673.76
183,32,Male,gmail.com,Manufacturing,After international garment fly,Sales,,Everett___heenan,31043.50;30092.66;30114.82;30200.02;30674.26
184,39,Male,gmail.com,Retail / Wholesale,AGC DISTRIBUTION LIMITED,Director,B,Lester__verble,53259.46
185,28,Female,gmail.com,Insurance,Ageas,Agency Manager,A,Sarah__muhn,64295.99;64660.08;65351.28
186,36,Male,yahoo.com.hk,Insurance,ageas,unit manager,A,Winfield__muhr,33205.41;33596.99
187,43,Female,gmail.com,Insurance,Ageas  Insurance Company  Limited ,保險代理,A,julia_muhl,46327.83;46459.77;46031.38
188,36,Male,gmail.com,Insurance,Ageas /  San Miguel,senior business development office,A,adam__furness,63825.01;63128.62
189,55,Male,hotmail.com,Insurance,Ageas insurance,Financial planning manager,A,Lloyd___kerne,20958.89
190,27,Female,hotmail.com,Insurance,Ageas Insurance Company Asia,Sales Manager,A,nora__killmon,44087.83
191,30,Male,gmail.com,Shipping / Trading,Agglo Corporation Limited,meechandiser,,Mack___jalomo,20790.46;20582.34;20389.39
192,53,Male,yahoo.com.hk,Construction,Aggressive Construction Co Ltd,Account Officer,A,Robert___dittbrenner,30941.44;30213.21;30326.80;30594.45;30511.45
193,23,Male,gmail.com,Construction,Aggressive Construction Company LTD,Engineer Assistant,A,Fredrick_dittbrenner,22180.06;22360.50;21979.31;22223.29
194,28,Male,hotmail.com,Retail / Wholesale,Agnes b,Sales,,Eugene_schrantz,26324.95
195,41,Male,gmail.com,Government,"Agriculture, Fisheries and Conservation Department",Officer,,Jay_SCHRANTZ,68325.07;66751.16;66915.64;67101.49;68497.02
196,48,Male,,Transportation,AH D Transportation Co. Ltd.,司機,,Jess_gleisner,56651.08;55812.52;56641.86;55117.24;55911.39
197,56,Male,yahoo.com.hk,Transportation,AHD TRANSPORTATION COMPANY LTD,司機,A,Melvin__berlanga,62535.42;61241.11;60825.49
198,32,Male,123.com,Insurance,AIA,財務策劃,A,Noah__brittin,25973.69;25777.53
199,26,Male,hotmail.com,Insurance,AiA,保險,,Aaron___MUHL,75964.27;74655.74;76312.38;76696.30;75730.18
200,23,,gmail.com,Insurance,AIA,Actuarial Analyst,A,Alvin__ibarra,15441.85
201,27,Male,gmail.com,Insurance,AIA,保險從業員,C,Thomas___kerne,20663.90;21287.92;20578.57;21064.76
202,38,Male,hotmail.com,Insurance,AIA,Agent,A,Norman__bloeser,53673.65
203,57,Male,gmail.com,Professional Services / Consultation,AIA,資深區域經理,,Gilbert_BLOESER,88045.98;89205.93
204,25,Male,gmail.com,Insurance,AIA,Finacial planner,A,Fredrick__araque,17846.35;17937.26;17750.30
205,54,Male,gmail.com,Insurance,AIA,分區經理,A,Elijah_melgarejo,113662.91;112391.34;111329.10
206,26,Male,gmail.com,Insurance,AIA,Insurance agent,A,Victor___trumbull,26937.77;27134.51;27235.55;27078.56
207,26,Female,gmail.com,Insurance,AIA,Insurance,A,May___helfritz,21417.18;21525.87;20984.71;21655.82;21115.38
208,37,Male,gmail.com,Retail / Wholesale,AIA,agent,A,gus___takaki,25891.01;25465.25;25864.25
209,31,Male,hotmail.com,Insurance,AIA,financial planner,,philip_verble,41473.12;42180.52
210,40,Male,yahoo.com.hk,Insurance,AIA,Manager,A,nelson__bloeser,74407.85;73380.11;75883.60
211,33,Male,hotmail.com,Insurance,AIA,AGENT,A,Jasper___DERINGTON,59397.93;58307.01;59463.09;59284.37
212,32,Male,yahoo.com.hk,Insurance,AIA,分區經理,A,silas__stoutamire,43838.35;44153.87;43530.19
213,22,Male,gmail.com,Other,AIA,Sales Agent,A,Philip_kerns,39933.83;39686.96;40149.07
214,22,Male,gmail.com,Insurance,AIA,助理分區經理,C,Winfield__helie,23756.58;24223.54;24274.16
215,52,Female,aia.com.hk,Insurance,aia,angent,A,Mamie___reutzel,63047.18;62484.22;63346.27
216,23,Female,yahoo.com.hk,Insurance,Aia,經紀,,Blanche___HELFRITZ,15384.05;15248.85;15025.59
217,32,Female,gmail.com,Bank / Finance,AIA,Senior Quantitative Analyst,,Stella___helie,66375.91;66577.45;65920.99;65473.23;65719.32
218,40,Male,aia.com.hk,Professional Services / Consultation,AIA,經理,,Christopher_fashaw,64211.66;65193.52
219,47,Male,gmail.com,Entertainment / Media,aia,保安員,,Jake__jalomo,22456.89;22494.53;22570.35
220,34,Male,yahoo.com.hk,IT,AIA Company Ltd.,Helpdesk Support,A,Mike___kerne,25925.14;25949.34;25926.65;25581.42;25972.20
